name,team,opp,salary,fppg,played,injury,inj_details,game,is_home,is_dome,team_implied,game_ou,spread,is_fav,fav_margin,opp_softness_rank,opp_tier,opp_fd_fpa,opp_rush_yds_allowed,opp_rush_td_allowed,rush_yds_ou,rush_att_ou,rec_ou,atd_prob,atd_odds,vegas_implied_fd,value_fd,composite_proj,salary_efficiency,vegas_grade,vegas_takeaway
Sean Tucker,TB,CIN,5000,5.32,17,Q,Undisclosed,TB@CIN,False,False,23.5,50.5,3.5,False,-3.5,4,SMASH,24.6,113.2,0.7,29.0,6.5,1.0,0.21,376,5.4,1.08,7.28,1.46,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Jaylen Wright,MIA,LV,4900,5.41,9,,,MIA@LV,False,True,19.0,41.5,3.5,False,-3.5,13,NEUTRAL,21.1,100.9,0.92,23.5,6.5,1.5,0.214,367,5.45,1.11,5.98,1.22,FADE,Limited touch share: Negative game script or secondary change-of-pace role
LeQuint Allen Jr.,JAC,CLE,4900,1.26,17,Q,Undisclosed,CLE@JAC,True,False,24.5,40.5,-8.5,True,8.5,11,FAVORABLE,21.0,101.2,0.81,30.5,6.5,1.0,0.18,456,5.4,1.1,7.73,1.58,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
MarShawn Lloyd,GB,MIN,4900,2.3,1,,,GB@MIN,False,True,22.5,46.5,1.5,False,-1.5,25,TOUGH,17.9,104.9,0.72,28.0,6.5,1.0,0.18,456,5.1,1.04,3.82,0.78,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Samaje Perine,CIN,TB,4800,4.63,15,,,TB@CIN,True,False,27.0,50.5,-3.5,True,3.5,16,NEUTRAL,19.4,78.1,0.5,33.5,6.5,1.0,0.183,446,5.7,1.19,7.28,1.52,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Seth McGowan,IND,BAL,4800,,0,,,BAL@IND,True,True,22.0,47.5,3.5,False,-3.5,15,NEUTRAL,19.6,78.0,0.62,38.0,9.0,2.5,0.395,153,9.35,1.95,9.57,1.99,ELITE,High-volume RB1/RB2: 38.0 Rush Yds + 2.5 Rec O/U in favorable script
Braelon Allen,NYJ,TEN,4800,3.58,4,,,NYJ@TEN,False,False,19.0,39.5,1.5,False,-1.5,21,TOUGH,18.7,84.9,0.91,23.5,6.5,1.0,0.18,456,4.7,0.98,4.03,0.84,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Devin Neal,NO,DET,4700,5.72,9,Q,Hamstring,NO@DET,False,True,21.25,49.5,7.0,False,-7.0,23,TOUGH,18.5,94.0,0.75,26.5,6.5,1.5,0.226,342,5.85,1.24,3.88,0.82,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Jawhar Jordan,HOU,BUF,4700,7.3,4,,,BUF@HOU,True,True,21.5,44.5,1.5,False,-1.5,10,FAVORABLE,21.5,104.7,0.98,28.5,7.0,1.5,0.289,246,6.45,1.37,7.42,1.58,AVERAGE,Committee rotation: 7.0 Carries O/U; TD-dependent fantasy output
Kaytron Allen,WAS,PHI,4700,,0,,,WAS@PHI,False,False,19.5,44.5,5.5,False,-5.5,12,FAVORABLE,21.1,98.7,0.73,31.5,8.5,2.5,0.395,153,8.65,1.84,9.33,1.98,ELITE,High-volume RB1/RB2: 31.5 Rush Yds + 2.5 Rec O/U in favorable script
Ray Davis,BUF,HOU,4600,3.39,19,,,BUF@HOU,False,True,23.0,44.5,-1.5,True,1.5,27,LOCKDOWN,17.4,73.5,0.65,28.5,6.5,1.0,0.18,456,5.2,1.13,3.62,0.79,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Tank Bigsby,PHI,WAS,4600,3.58,16,,,WAS@PHI,True,False,25.0,44.5,-5.5,True,5.5,3,SMASH,24.9,121.1,1.05,31.0,6.5,1.0,0.18,456,5.4,1.17,8.93,1.94,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Nick Singleton,TEN,NYJ,4600,,0,,,NYJ@TEN,True,False,20.5,39.5,-1.5,True,1.5,1,SMASH,27.6,111.3,1.09,37.0,9.5,2.0,0.395,153,8.6,1.87,10.92,2.38,AVERAGE,Committee rotation: 9.5 Carries O/U; TD-dependent fantasy output
Chris Brooks,GB,MIN,4500,1.84,16,,,GB@MIN,False,True,22.5,46.5,1.5,False,-1.5,25,TOUGH,17.9,104.9,0.72,28.0,6.5,1.0,0.18,456,5.1,1.13,3.82,0.85,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Mike Washington Jr.,LV,MIA,4500,,0,,,MIA@LV,True,True,22.5,41.5,-3.5,True,3.5,8,FAVORABLE,21.9,102.7,0.72,43.0,10.0,2.0,0.395,153,9.2,2.04,11.97,2.66,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Zavier Scott,CHI,CAR,4500,3.22,10,,,CHI@CAR,False,False,25.25,47.5,-3.0,True,3.0,7,FAVORABLE,22.4,108.1,1.02,31.5,6.5,1.0,0.18,456,5.5,1.22,8.43,1.87,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Pierre Strong Jr.,GB,MIN,4500,2.35,12,,,GB@MIN,False,True,22.5,46.5,1.5,False,-1.5,25,TOUGH,17.9,104.9,0.72,28.0,6.5,1.0,0.18,456,5.1,1.13,3.82,0.85,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
DJ Giddens,IND,BAL,4500,1.92,5,,,BAL@IND,True,True,22.0,47.5,3.5,False,-3.5,15,NEUTRAL,19.6,78.0,0.62,27.5,6.5,1.0,0.18,456,5.1,1.13,5.32,1.18,FADE,Limited touch share: Negative game script or secondary change-of-pace role
