name,team,opp,salary,sal_rank_overall,sal_pct_overall,injury,inj_details,db_status,db_proj,team_implied,game_ou,spread,fav_margin,is_fav,is_home,is_dome,opp_soft_rank,opp_tier,opp_tier_label,opp_fd_fpa,opp_rush_yds_allowed,opp_rush_td_allowed,rush_yds_ou,rush_att_ou,rec_ou,rec_yds_ou,atd_prob,atd_odds,fd_implied,blended_proj,final_composite,value_composite,value_db,vegas_grade,vegas_takeaway
Braelon Allen,NYJ,TEN,4800,234,67.2,,,ACTIVE,4.62,19.0,39.5,1.5,-1.5,False,False,False,21.0,TOUGH,Tough Defense,18.7,84.9,0.91,23.5,6.5,1.0,7.5,0.183,446,4.7,4.67,4.0,0.83,0.96,FADE,Limited touch share: Negative game script or secondary change-of-pace role
DeeJay Dallas,MIN,GB,4000,406,23.2,,,ACTIVE,0.4199999809265137,24.0,46.5,-1.5,1.5,True,True,True,14.0,NEUTRAL,Neutral Matchup,20.1,106.2,0.78,29.5,6.5,1.0,7.5,0.18,456,5.3,3.35,3.73,0.93,0.1,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Dylan Sampson,CLE,JAC,5100,204,71.7,,,ACTIVE,5.02,16.0,40.5,8.5,-8.5,False,False,False,,,,,,,22.5,6.5,1.0,7.5,0.198,405,4.7,4.83,3.7,0.73,0.98,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Isaiah Davis,NYJ,TEN,4300,311,55.9,Q,Knee,ACTIVE,3.793750047683716,19.0,39.5,1.5,-1.5,False,False,False,21.0,TOUGH,Tough Defense,18.7,84.9,0.91,23.5,6.5,1.0,7.5,0.18,456,4.7,4.34,3.67,0.85,0.88,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Devin Neal,NO,DET,4700,248,65.3,Q,Hamstring,ACTIVE,5.722222222222222,21.25,49.5,7.0,-7.0,False,False,True,23.0,TOUGH,Tough Defense,18.5,94.0,0.75,26.5,6.5,1.5,11.0,0.226,342,5.85,5.8,3.63,0.77,1.22,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Raheim Sanders,CLE,JAC,4300,311,55.9,,,ACTIVE,4.699999809265137,16.0,40.5,8.5,-8.5,False,False,False,,,,,,,22.5,6.5,1.0,7.5,0.186,438,4.6,4.64,3.51,0.82,1.09,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Brian Robinson Jr.,ATL,PIT,5200,196,72.8,,,ACTIVE,4.98,19.5,42.5,3.5,-3.5,False,False,False,26.0,TOUGH,Tough Defense,16.8,97.8,0.25,24.0,6.5,1.0,7.5,0.197,408,4.8,4.87,3.44,0.66,0.96,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Ty Johnson,BUF,HOU,5000,212,70.3,Q,Lower leg,QUESTIONABLE,4.61,23.0,44.5,-1.5,1.5,True,False,True,27.0,LOCKDOWN,Brutal Lockdown,17.4,73.5,0.65,28.5,6.5,1.0,7.5,0.182,449,5.2,4.96,3.39,0.68,0.92,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
AJ Dillon,CAR,CHI,4000,406,23.2,,,ACTIVE,1.2666666507720947,22.25,47.5,3.0,-3.0,False,True,False,18.0,NEUTRAL,Neutral Matchup,18.9,105.0,0.52,27.5,6.5,1.0,7.5,0.18,456,5.1,3.57,3.35,0.84,0.32,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Bam Knight,ARI,LAC,4000,406,23.2,,,ACTIVE,6.825000127156575,18.75,47.5,10.0,-10.0,False,False,False,29.0,LOCKDOWN,Brutal Lockdown,16.3,85.0,0.65,23.0,6.5,1.5,11.0,0.27,270,5.75,6.18,3.1,0.78,1.71,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Tyler Allgeier,ARI,LAC,5900,147,79.7,,,ACTIVE,6.78,18.75,47.5,10.0,-10.0,False,False,False,29.0,LOCKDOWN,Brutal Lockdown,16.3,85.0,0.65,23.0,6.5,1.5,11.0,0.268,273,5.75,6.16,3.08,0.52,1.15,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Pierre Strong Jr.,GB,MIN,4500,277,61.0,,,ACTIVE,2.350000063578288,22.5,46.5,1.5,-1.5,False,False,True,25.0,TOUGH,Tough Defense,17.9,104.9,0.72,28.0,6.5,1.0,7.5,0.18,456,5.1,4.0,2.73,0.61,0.52,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Kene Nwangwu,NYJ,TEN,4000,406,23.2,,,ACTIVE,1.0899999618530274,19.0,39.5,1.5,-1.5,False,False,False,21.0,TOUGH,Tough Defense,18.7,84.9,0.91,23.5,6.5,1.0,7.5,0.18,456,4.7,3.26,2.59,0.65,0.27,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Kendre Miller,NO,DET,4200,336,52.1,Q,Undisclosed,ACTIVE,4.399999891008649,21.25,49.5,7.0,-7.0,False,False,True,23.0,TOUGH,Tough Defense,18.5,94.0,0.75,26.5,6.5,1.0,7.5,0.18,456,5.0,4.76,2.59,0.62,1.05,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Michael Burton,CLE,JAC,4000,406,23.2,,,ACTIVE,2.209090839732777,16.0,40.5,8.5,-8.5,False,False,False,,,,,,,22.5,6.5,1.0,7.5,0.18,456,4.6,3.64,2.51,0.63,0.55,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Ray Davis,BUF,HOU,4600,262,63.3,,,ACTIVE,2.07,23.0,44.5,-1.5,1.5,True,False,True,27.0,LOCKDOWN,Brutal Lockdown,17.4,73.5,0.65,28.5,6.5,1.0,7.5,0.18,456,5.2,3.95,2.38,0.52,0.45,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Kaleb Johnson,GB,MIN,4300,311,55.9,,,ACTIVE,0.6300000190734864,22.5,46.5,1.5,-1.5,False,False,True,25.0,TOUGH,Tough Defense,17.9,104.9,0.72,28.0,6.5,1.0,7.5,0.18,456,5.1,3.31,2.04,0.47,0.15,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Alvin Kamara,NO,DET,5500,174,75.9,Q,Knee - mcl,QUESTIONABLE,0.0,21.25,49.5,7.0,-7.0,False,False,True,23.0,TOUGH,Tough Defense,18.5,94.0,0.75,26.5,6.5,2.0,15.0,0.303,230,7.0,4.2,2.03,0.37,0.0,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Frank Gore Jr.,BUF,HOU,4000,406,23.2,,,ACTIVE,0.550000011920929,23.0,44.5,-1.5,1.5,True,False,True,27.0,LOCKDOWN,Brutal Lockdown,17.4,73.5,0.65,28.5,6.5,1.0,7.5,0.18,456,5.2,3.34,1.77,0.44,0.14,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Tyler Goodson,ATL,PIT,4000,406,23.2,,,ACTIVE,0.4199999809265137,19.5,42.5,3.5,-3.5,False,False,False,26.0,TOUGH,Tough Defense,16.8,97.8,0.25,24.0,6.5,1.0,7.5,0.18,456,4.7,2.99,1.56,0.39,0.1,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Evan Hull,ARI,LAC,4000,406,23.2,,,ACTIVE,0.9833333492279052,18.75,47.5,10.0,-10.0,False,False,False,29.0,LOCKDOWN,Brutal Lockdown,16.3,85.0,0.65,23.0,6.5,1.0,7.5,0.18,456,4.6,3.15,0.07,0.02,0.25,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Seth McGowan,IND,BAL,4800,234,67.2,,,ACTIVE,,22.0,47.5,3.5,-3.5,False,True,True,15.0,NEUTRAL,Neutral Matchup,19.6,78.0,0.62,38.0,9.0,2.5,19.0,0.395,153,9.35,,,,0.0,ELITE,High-volume RB1/RB2: 38.0 Rush Yds + 2.5 Rec O/U in favorable script
Kaytron Allen,WAS,PHI,4700,248,65.3,,,ACTIVE,,19.5,44.5,5.5,-5.5,False,False,False,12.0,FAVORABLE,Favorable Matchup,21.1,98.7,0.73,31.5,8.5,2.5,19.0,0.395,153,8.65,,,,0.0,ELITE,High-volume RB1/RB2: 31.5 Rush Yds + 2.5 Rec O/U in favorable script
Nick Singleton,TEN,NYJ,4600,262,63.3,,,ACTIVE,,20.5,39.5,-1.5,1.5,True,True,False,1.0,SMASH,Elite Smash Matchup,27.6,111.3,1.09,37.0,9.5,2.0,15.0,0.395,153,8.6,,,,0.0,AVERAGE,Committee rotation: 9.5 Carries O/U; TD-dependent fantasy output
Damien Martinez,GB,MIN,4300,311,55.9,,,ACTIVE,,22.5,46.5,1.5,-1.5,False,False,True,25.0,TOUGH,Tough Defense,17.9,104.9,0.72,41.0,9.5,2.0,15.0,0.395,153,9.0,,,,0.0,GOOD,Solid Flex RB: 9.5 Carries O/U; dependable touch floor
CJ Donaldson,NO,DET,4000,406,23.2,,,ACTIVE,,21.25,49.5,7.0,-7.0,False,False,True,23.0,TOUGH,Tough Defense,18.5,94.0,0.75,34.5,8.5,2.5,19.0,0.395,153,8.95,,,,0.0,ELITE,High-volume RB1/RB2: 34.5 Rush Yds + 2.5 Rec O/U in favorable script
Kye Robichaux,DET,NO,4000,406,23.2,Q,Foot,ACTIVE,,28.25,49.5,-7.0,7.0,True,True,True,19.0,NEUTRAL,Neutral Matchup,18.6,100.7,0.61,56.5,10.5,2.0,15.0,0.395,153,10.5,,,,0.0,GOOD,Solid Flex RB: 10.5 Carries O/U; dependable touch floor
Anthony Tyus III,CAR,CHI,4000,406,23.2,,,ACTIVE,,22.25,47.5,3.0,-3.0,False,True,False,18.0,NEUTRAL,Neutral Matchup,18.9,105.0,0.52,38.0,9.0,2.5,19.0,0.395,153,9.35,,,,0.0,ELITE,High-volume RB1/RB2: 38.0 Rush Yds + 2.5 Rec O/U in favorable script
Joshua Pitsenberger,HOU,BUF,4000,406,23.2,Q,Ankle,ACTIVE,,21.5,44.5,1.5,-1.5,False,True,True,10.0,FAVORABLE,Favorable Matchup,21.5,104.7,0.98,39.0,9.5,2.0,15.0,0.395,153,8.8,,,,0.0,GOOD,Solid Flex RB: 9.5 Carries O/U; dependable touch floor
Ahmani Marshall,CAR,CHI,4000,406,23.2,,,ACTIVE,,22.25,47.5,3.0,-3.0,False,True,False,18.0,NEUTRAL,Neutral Matchup,18.9,105.0,0.52,38.0,9.0,2.5,19.0,0.395,153,9.35,,,,0.0,ELITE,High-volume RB1/RB2: 38.0 Rush Yds + 2.5 Rec O/U in favorable script
Eli Heidenreich,PIT,ATL,4000,406,23.2,,,ACTIVE,,23.0,42.5,-3.5,3.5,True,True,False,22.0,TOUGH,Tough Defense,18.4,97.4,0.46,44.0,10.0,2.0,15.0,0.395,153,9.3,,,,0.0,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Carlos Washington Jr.,MIA,LV,4000,406,23.2,,,ACTIVE,,19.0,41.5,3.5,-3.5,False,False,True,13.0,NEUTRAL,Neutral Matchup,21.1,100.9,0.92,32.5,9.0,2.5,19.0,0.395,153,8.75,,,,0.0,ELITE,High-volume RB1/RB2: 32.5 Rush Yds + 2.5 Rec O/U in favorable script
Miles Davis,CAR,CHI,4000,406,23.2,,,ACTIVE,,22.25,47.5,3.0,-3.0,False,True,False,18.0,NEUTRAL,Neutral Matchup,18.9,105.0,0.52,38.0,9.0,2.5,19.0,0.395,153,9.35,,,,0.0,ELITE,High-volume RB1/RB2: 38.0 Rush Yds + 2.5 Rec O/U in favorable script
Lucas Scott,BAL,IND,4000,406,23.2,,,ACTIVE,,25.5,47.5,-3.5,3.5,True,False,True,20.0,NEUTRAL,Neutral Matchup,18.4,91.2,0.72,48.5,10.0,2.0,15.0,0.395,153,9.7,,,,0.0,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Cash Jones,ATL,PIT,4000,406,23.2,,,ACTIVE,,19.5,42.5,3.5,-3.5,False,False,False,26.0,TOUGH,Tough Defense,16.8,97.8,0.25,33.5,9.0,2.5,19.0,0.395,153,8.85,,,,0.0,ELITE,High-volume RB1/RB2: 33.5 Rush Yds + 2.5 Rec O/U in favorable script
Anderson Castle,IND,BAL,4000,406,23.2,,,ACTIVE,,22.0,47.5,3.5,-3.5,False,True,True,15.0,NEUTRAL,Neutral Matchup,19.6,78.0,0.62,38.0,9.0,2.5,19.0,0.395,153,9.35,,,,0.0,ELITE,High-volume RB1/RB2: 38.0 Rush Yds + 2.5 Rec O/U in favorable script
Coleman Bennett,MIA,LV,4000,406,23.2,,,ACTIVE,,19.0,41.5,3.5,-3.5,False,False,True,13.0,NEUTRAL,Neutral Matchup,21.1,100.9,0.92,32.5,9.0,2.5,19.0,0.395,153,8.75,,,,0.0,ELITE,High-volume RB1/RB2: 32.5 Rush Yds + 2.5 Rec O/U in favorable script
Demond Claiborne,MIN,GB,4000,406,23.2,,,ACTIVE,,24.0,46.5,-1.5,1.5,True,True,True,14.0,NEUTRAL,Neutral Matchup,20.1,106.2,0.78,43.5,9.5,2.0,15.0,0.395,153,9.2,,,,0.0,GOOD,Solid Flex RB: 9.5 Carries O/U; dependable touch floor
Kentrel Bullock,CIN,TB,4000,406,23.2,,,ACTIVE,,27.0,50.5,-3.5,3.5,True,True,False,16.0,NEUTRAL,Neutral Matchup,19.4,78.1,0.5,51.5,10.0,2.0,15.0,0.395,153,10.0,,,,0.0,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Sam Scott,NYJ,TEN,4000,406,23.2,Q,Undisclosed,ACTIVE,,19.0,39.5,1.5,-1.5,False,False,False,21.0,TOUGH,Tough Defense,18.7,84.9,0.91,34.5,9.5,2.0,15.0,0.395,153,8.3,,,,0.0,AVERAGE,Committee rotation: 9.5 Carries O/U; TD-dependent fantasy output
Robert Henry Jr.,WAS,PHI,4000,406,23.2,,,ACTIVE,,19.5,44.5,5.5,-5.5,False,False,False,12.0,FAVORABLE,Favorable Matchup,21.1,98.7,0.73,31.5,8.5,2.5,19.0,0.395,153,8.65,,,,0.0,ELITE,High-volume RB1/RB2: 31.5 Rush Yds + 2.5 Rec O/U in favorable script
J'Mari Taylor,JAC,CLE,4000,406,23.2,,,ACTIVE,,24.5,40.5,-8.5,8.5,True,True,False,11.0,FAVORABLE,Favorable Matchup,21.0,101.2,0.81,49.0,10.5,2.0,15.0,0.395,153,9.8,,,,0.0,GOOD,Solid Flex RB: 10.5 Carries O/U; dependable touch floor
Max Hurleman,PIT,ATL,4000,406,23.2,,,ACTIVE,,23.0,42.5,-3.5,3.5,True,True,False,22.0,TOUGH,Tough Defense,18.4,97.4,0.46,44.0,10.0,2.0,15.0,0.395,153,9.3,,,,0.0,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Jackson Acker,BUF,HOU,4000,406,23.2,,,ACTIVE,,23.0,44.5,-1.5,1.5,True,False,True,27.0,LOCKDOWN,Brutal Lockdown,17.4,73.5,0.65,41.5,9.5,2.0,15.0,0.395,153,9.0,,,,0.0,GOOD,Solid Flex RB: 9.5 Carries O/U; dependable touch floor
Gregory Desrosiers,LAC,ARI,4000,406,23.2,,,ACTIVE,,28.75,47.5,-10.0,10.0,True,True,False,2.0,SMASH,Elite Smash Matchup,25.3,117.9,1.03,60.5,11.0,2.0,15.0,0.395,153,10.9,,,,0.0,GOOD,Solid Flex RB: 11.0 Carries O/U; dependable touch floor
Roman Hemby,LV,MIA,4000,406,23.2,,,ACTIVE,,22.5,41.5,-3.5,3.5,True,True,True,8.0,FAVORABLE,Favorable Matchup,21.9,102.7,0.72,43.0,10.0,2.0,15.0,0.395,153,9.2,,,,0.0,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Salvon Ahmed,CHI,CAR,4000,406,23.2,,,ACTIVE,,25.25,47.5,-3.0,3.0,True,False,False,7.0,FAVORABLE,Favorable Matchup,22.4,108.1,1.02,48.0,10.0,2.0,15.0,0.395,153,9.7,,,,0.0,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Elijah Tau-Tolliver,BAL,IND,4000,406,23.2,,,ACTIVE,,25.5,47.5,-3.5,3.5,True,False,True,20.0,NEUTRAL,Neutral Matchup,18.4,91.2,0.72,48.5,10.0,2.0,15.0,0.395,153,9.7,,,,0.0,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Jamal Haynes,CIN,TB,4000,406,23.2,,,ACTIVE,,27.0,50.5,-3.5,3.5,True,True,False,16.0,NEUTRAL,Neutral Matchup,19.4,78.1,0.5,51.5,10.0,2.0,15.0,0.395,153,10.0,,,,0.0,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Max Bredeson,MIN,GB,4000,406,23.2,,,ACTIVE,,24.0,46.5,-1.5,1.5,True,True,True,14.0,NEUTRAL,Neutral Matchup,20.1,106.2,0.78,43.5,9.5,2.0,15.0,0.395,153,9.2,,,,0.0,GOOD,Solid Flex RB: 9.5 Carries O/U; dependable touch floor
Ian Wheeler,BUF,HOU,4000,406,23.2,,,ACTIVE,,23.0,44.5,-1.5,1.5,True,False,True,27.0,LOCKDOWN,Brutal Lockdown,17.4,73.5,0.65,41.5,9.5,2.0,15.0,0.395,153,9.0,,,,0.0,GOOD,Solid Flex RB: 9.5 Carries O/U; dependable touch floor
Roydell Williams,DET,NO,4000,406,23.2,,,ACTIVE,,28.25,49.5,-7.0,7.0,True,True,True,19.0,NEUTRAL,Neutral Matchup,18.6,100.7,0.61,56.5,10.5,2.0,15.0,0.395,153,10.5,,,,0.0,GOOD,Solid Flex RB: 10.5 Carries O/U; dependable touch floor
Davon Booth,IND,BAL,4000,406,23.2,,,ACTIVE,,22.0,47.5,3.5,-3.5,False,True,True,15.0,NEUTRAL,Neutral Matchup,19.6,78.0,0.62,38.0,9.0,2.5,19.0,0.395,153,9.35,,,,0.0,ELITE,High-volume RB1/RB2: 38.0 Rush Yds + 2.5 Rec O/U in favorable script
Jaden Nixon,GB,MIN,4000,406,23.2,,,ACTIVE,,22.5,46.5,1.5,-1.5,False,False,True,25.0,TOUGH,Tough Defense,17.9,104.9,0.72,41.0,9.5,2.0,15.0,0.395,153,9.0,,,,0.0,GOOD,Solid Flex RB: 9.5 Carries O/U; dependable touch floor
Jabari Small,DET,NO,4000,406,23.2,,,ACTIVE,,28.25,49.5,-7.0,7.0,True,True,True,19.0,NEUTRAL,Neutral Matchup,18.6,100.7,0.61,56.5,10.5,2.0,15.0,0.395,153,10.5,,,,0.0,GOOD,Solid Flex RB: 10.5 Carries O/U; dependable touch floor
Kadarius Calloway,TB,CIN,4000,406,23.2,Q,Undisclosed,ACTIVE,,23.5,50.5,3.5,-3.5,False,False,False,4.0,SMASH,Elite Smash Matchup,24.6,113.2,0.7,40.5,9.0,2.5,19.0,0.395,153,9.55,,,,0.0,ELITE,High-volume RB1/RB2: 40.5 Rush Yds + 2.5 Rec O/U in favorable script
Noah Whittington,HOU,BUF,4000,406,23.2,,,ACTIVE,,21.5,44.5,1.5,-1.5,False,True,True,10.0,FAVORABLE,Favorable Matchup,21.5,104.7,0.98,39.0,9.5,2.0,15.0,0.395,153,8.8,,,,0.0,GOOD,Solid Flex RB: 9.5 Carries O/U; dependable touch floor
DJ Herman,MIA,LV,4000,406,23.2,,,ACTIVE,,19.0,41.5,3.5,-3.5,False,False,True,13.0,NEUTRAL,Neutral Matchup,21.1,100.9,0.92,32.5,9.0,2.5,19.0,0.395,153,8.75,,,,0.0,ELITE,High-volume RB1/RB2: 32.5 Rush Yds + 2.5 Rec O/U in favorable script
Dontae McMillan,BAL,IND,4000,406,23.2,,,ACTIVE,,25.5,47.5,-3.5,3.5,True,False,True,20.0,NEUTRAL,Neutral Matchup,18.4,91.2,0.72,48.5,10.0,2.0,15.0,0.395,153,9.7,,,,0.0,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Donovan Edwards,MIA,LV,4000,406,23.2,,,ACTIVE,,19.0,41.5,3.5,-3.5,False,False,True,13.0,NEUTRAL,Neutral Matchup,21.1,100.9,0.92,32.5,9.0,2.5,19.0,0.395,153,8.75,,,,0.0,ELITE,High-volume RB1/RB2: 32.5 Rush Yds + 2.5 Rec O/U in favorable script
