id,name,pos,team,opp,salary,fppg,proj,team_implied,game_ou,spread,soft_rank
133104-63855,K.J. Osborn,WR,TEN,NYJ,4100,2.171428544180734,1.86,20.5,39.5,-1.5,16
133104-71032,Devin Duvernay,WR,ARI,LAC,4100,0.1894736791911878,1.0,18.75,47.5,10.0,23
133104-56698,Dante Pettis,WR,BUF,HOU,4100,2.171428544180734,1.28,23.0,44.5,-1.5,26
133104-94621,Derius Davis,WR,LAC,ARI,4100,0.0416666666666666,1.43,28.75,47.5,-10.0,19
133104-71105,Ben Skowronek,WR,PIT,ATL,4100,1.2416666348775227,2.63,23.0,42.5,-3.5,7
133104-133615,Dontae Fleming,WR,MIN,GB,4100,,5.8,24.0,46.5,-1.5,14
133104-60981,Charlie Heck,TE,MIA,LV,4100,,2.75,19.0,41.5,3.5,29
133104-147049,Drew Ogletree,TE,IND,BAL,4100,2.1399999618530274,1.0,22.0,47.5,3.5,26
133104-87668,Shedrick Jackson,WR,LV,MIA,4100,4.633333206176758,4.94,22.5,41.5,-3.5,15
133104-88699,Jaret Patterson,RB,LAC,ARI,4100,3.4571429661342075,8.08,28.75,47.5,-10.0,2
133104-85635,Charlie Kolar,TE,LAC,ARI,4100,2.40000005868765,5.83,28.75,47.5,-10.0,2
133104-71351,Charlie Woerner,TE,ATL,PIT,4100,1.100000023841858,1.98,19.5,42.5,3.5,4
133104-71352,Mecole Hardman Jr.,WR,BUF,HOU,4100,1.6333333651224773,1.0,23.0,44.5,-1.5,26
133104-110274,Bub Means,WR,NO,DET,4100,5.574999809265137,7.01,21.25,49.5,7.0,3
133104-86747,Dylan Drummond,WR,ATL,PIT,4100,1.5399999618530271,1.93,19.5,42.5,3.5,8
133104-157438,Jimmy Horn Jr.,WR,CAR,CHI,4100,2.109090978449041,3.43,22.25,47.5,3.0,6
133104-72515,Ian Thomas,TE,LV,MIA,4100,2.557142802647182,4.06,22.5,41.5,-3.5,5
133104-61273,Scotty Miller,WR,CHI,CAR,4100,2.1399999618530274,2.29,25.25,47.5,-3.0,22
133104-169834,Dareke Young,WR,LV,MIA,4100,0.5800000190734863,1.0,22.5,41.5,-3.5,15
133104-128913,Malachi Corley,WR,CLE,JAC,4100,2.175000031789144,1.0,16.0,40.5,8.5,16
133104-137122,Tahj Brooks,RB,CIN,TB,4100,0.737500011920929,3.25,27.0,50.5,-3.5,16
133104-91055,Kevin Austin Jr.,WR,NO,DET,4100,5.3,6.73,21.25,49.5,7.0,3
133104-137139,Myles Price,WR,MIN,GB,4100,-0.375,5.8,24.0,46.5,-1.5,14
133104-152520,Will Shipley,RB,PHI,WAS,4100,0.9400000254313152,4.51,25.0,44.5,-5.5,3
133104-69581,Cedrick Wilson Jr.,WR,DET,NO,4100,1.150000015894572,1.45,28.25,49.5,-7.0,27
133104-24533,Mo Alie-Cox,TE,IND,BAL,4100,2.2000000693581323,1.06,22.0,47.5,3.5,26
133104-178158,Colbie Young,WR,CIN,TB,4100,,6.07,27.0,50.5,-3.5,18
133104-173066,CJ Donaldson,RB,NO,DET,4000,,3.23,21.25,49.5,7.0,23
133104-90123,Quintin Morris,TE,JAC,CLE,4000,1.8125,2.26,24.5,40.5,-8.5,18
133104-167950,Oscar Delp,TE,NO,DET,4000,,5.23,21.25,49.5,7.0,13
133104-41997,River Cracraft,WR,WAS,PHI,4000,0.0,3.35,19.5,44.5,5.5,25
133104-156684,Kye Robichaux,RB,DET,NO,4000,,7.46,28.25,49.5,-7.0,19
133104-152593,Harrison Wallace III,WR,ARI,LAC,4000,,3.41,18.75,47.5,10.0,23
133104-139284,Frank Gore Jr.,RB,BUF,HOU,4000,0.550000011920929,1.0,23.0,44.5,-1.5,27
133104-110617,Isaiah Neyor,WR,GB,MIN,4000,,3.27,22.5,46.5,1.5,32
133104-110616,Treyton Welch,TE,NO,DET,4000,,5.23,21.25,49.5,7.0,13
133104-152603,Anthony Tyus III,RB,CAR,CHI,4000,,4.88,22.25,47.5,3.0,18
133104-243751,Treyvhon Saunders,WR,HOU,BUF,4000,,3.5,21.5,44.5,1.5,28
133104-243750,Joshua Pitsenberger,RB,HOU,BUF,4000,,5.66,21.5,44.5,1.5,10
133104-86055,Dameon Pierce,RB,PHI,WAS,4000,0.7199999809265136,4.29,25.0,44.5,-5.5,3
133104-138277,Jalen Brooks,WR,ARI,LAC,4000,1.149999976158142,1.0,18.75,47.5,10.0,23
133104-243752,Daniel Sobkowicz,WR,HOU,BUF,4000,,3.5,21.5,44.5,1.5,28
133104-88109,Gary Brightwell,RB,CIN,TB,4000,0.0,7.51,27.0,50.5,-3.5,16
133104-175154,Jack Endries,TE,CIN,TB,4000,,7.87,27.0,50.5,-3.5,3
133104-152631,Samori Toure,WR,PHI,WAS,4000,0.800000011920929,2.45,25.0,44.5,-5.5,9
133104-129081,Ahmani Marshall,RB,CAR,CHI,4000,,4.88,22.25,47.5,3.0,18
133104-173113,Eli Heidenreich,RB,PIT,ATL,4000,,5.79,23.0,42.5,-3.5,22
133104-155715,Devonte Ross,WR,LAC,ARI,4000,,6.39,28.75,47.5,-10.0,19
133104-87109,Bryce Oliver,WR,CLE,JAC,4000,1.2999999523162842,1.0,16.0,40.5,8.5,16
133104-174148,Carlos Washington Jr.,RB,MIA,LV,4000,,4.67,19.0,41.5,3.5,13
