Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
133646-151789,WR,Adonai,Adonai Mitchell,Mitchell,4.75,16,5400,NYJ@TEN,NYJ,TEN,,,,,,WR/FLEX
133646-64808,TE,Juwan,Juwan Johnson,Johnson,8.3176466997932,17,5400,NO@DET,NO,DET,,,,,,TE/FLEX
133646-201547,WR,Jalen,Jalen Coker,Coker,8.40000025431315,12,5400,CHI@CAR,CAR,CHI,,,,,,WR/FLEX
133646-87127,RB,Chris,Chris Rodriguez Jr.,Rodriguez Jr.,7.541666666666667,12,5300,CLE@JAC,JAC,CLE,,,,,,RB/FLEX
133646-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,11.306249618530273,16,5300,NYJ@TEN,TEN,NYJ,Q,Head,,,,WR/FLEX
133646-92575,RB,Isiah,Isiah Pacheco,Pacheco,5.984615619365986,13,5300,NO@DET,DET,NO,IR,Back,,,,RB/FLEX
133646-184184,WR,Travis,Travis Hunter,Hunter,7.5428570338657925,7,5300,CLE@JAC,JAC,CLE,,,,,,WR/FLEX
133646-64389,WR,Nick,Nick Westbrook-Ikhine,Westbrook-Ikhine,1.309090874411843,11,5300,BAL@IND,IND,BAL,,,,,,WR/FLEX
133646-64496,WR,Olamide,Olamide Zaccheaus,Zaccheaus,4.625,16,5300,ATL@PIT,ATL,PIT,,,,,,WR/FLEX
133646-145558,TE,Dalton,Dalton Kincaid,Kincaid,10.014285496303014,14,5200,BUF@HOU,BUF,HOU,,,,,,TE/FLEX
133646-52436,TE,Mark,Mark Andrews,Andrews,6.294117647058823,17,5200,BAL@IND,BAL,IND,,,,,,TE/FLEX
133646-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,3.142105303312603,19,5200,ATL@PIT,ATL,PIT,,,,,,RB/FLEX
133646-85845,WR,Rashod,Rashod Bateman,Bateman,3.5307693481445312,13,5200,BAL@IND,BAL,IND,,,,,,WR/FLEX
133646-103587,TE,Brenton,Brenton Strange,Strange,7.453846271221455,13,5100,CLE@JAC,JAC,CLE,,,,,,TE/FLEX
133646-69860,RB,Trayveon,Trayveon Williams,Williams,2.183333396911621,6,5100,NO@DET,DET,NO,,,,,,RB/FLEX
133646-183649,WR,KC,KC Concepcion,Concepcion,,0,5100,CLE@JAC,CLE,JAC,,,,,,WR/FLEX
133646-174486,RB,Dylan,Dylan Sampson,Sampson,4.73999989827474,15,5100,CLE@JAC,CLE,JAC,,,,,,RB/FLEX
133646-128624,WR,Tez,Tez Johnson,Johnson,5.226666768391927,15,5100,TB@CIN,TB,CIN,,,,,,WR/FLEX
133646-172715,WR,Omar,Omar Cooper Jr.,Cooper Jr.,,0,5100,NYJ@TEN,NYJ,TEN,,,,,,WR/FLEX
133646-55042,TE,Dalton,Dalton Schultz,Schultz,7.636842426500823,19,5100,BUF@HOU,HOU,BUF,,,,,,TE/FLEX
133646-103511,WR,Devaughn,Devaughn Vele,Vele,5.977777693006727,9,5000,NO@DET,NO,DET,,,,,,WR/FLEX
133646-12554,D,Jacksonville,Jacksonville Jaguars,Jaguars,8.166666666666666,18,5000,CLE@JAC,JAC,CLE,,,,,,DEF
133646-152007,WR,Jaylin,Jaylin Noel,Noel,2.9157895539936267,19,5000,BUF@HOU,HOU,BUF,Q,Hamstring,,,,WR/FLEX
133646-63050,RB,Ty,Ty Johnson,Johnson,5.194117826573989,17,5000,BUF@HOU,BUF,HOU,Q,Lower leg,,,,RB/FLEX
133646-86811,TE,Cade,Cade Otton,Otton,6.179999796549479,15,5000,TB@CIN,TB,CIN,,,,,,TE/FLEX
133646-107293,RB,Tyjae,Tyjae Spears,Spears,6.861538226787861,13,5000,NYJ@TEN,TEN,NYJ,,,,,,RB/FLEX
133646-172861,WR,Elic,Elic Ayomanor,Ayomanor,6,16,5000,NYJ@TEN,TEN,NYJ,,,,,,WR/FLEX
133646-137059,RB,Sean,Sean Tucker,Tucker,5.317647148581112,17,5000,TB@CIN,TB,CIN,Q,Undisclosed,,,,RB/FLEX
133646-119653,WR,Kayshon,Kayshon Boutte,Boutte,7.66111077202691,18,5000,BUF@HOU,HOU,BUF,,,,,,WR/FLEX
133646-185593,WR,Andrei,Andrei Iosivas,Iosivas,4.893333435058594,15,4900,TB@CIN,CIN,TB,,,,,,WR/FLEX
133646-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,7.833333333333333,18,4900,ATL@PIT,PIT,ATL,,,,,,DEF
133646-133477,TE,Darnell,Darnell Washington,Washington,4.453846271221455,13,4900,ATL@PIT,PIT,ATL,,,,,,TE/FLEX
133646-190930,WR,Ja'Kobi,Ja'Kobi Lane,Lane,,0,4900,BAL@IND,BAL,IND,,,,,,WR/FLEX
133646-157467,WR,Keon,Keon Coleman,Coleman,7,14,4900,BUF@HOU,BUF,HOU,Q,Foot,,,,WR/FLEX
133646-166749,RB,LeQuint,LeQuint Allen Jr.,Allen Jr.,1.2647058823529411,17,4900,CLE@JAC,JAC,CLE,Q,Undisclosed,,,,RB/FLEX
133646-56265,TE,Mike,Mike Gesicki,Gesicki,4.725000063578288,12,4900,TB@CIN,CIN,TB,,,,,,TE/FLEX
133646-168054,TE,Mason,Mason Taylor,Taylor,5.146153963529146,13,4800,NYJ@TEN,NYJ,TEN,,,,,,TE/FLEX
133646-183488,WR,Isaac,Isaac TeSlaa,TeSlaa,4.850000108991351,14,4800,NO@DET,DET,NO,,,,,,WR/FLEX
133646-167110,WR,Denzel,Denzel Boston,Boston,,0,4800,CLE@JAC,CLE,JAC,,,,,,WR/FLEX
133646-52451,RB,Samaje,Samaje Perine,Perine,4.626666768391927,15,4800,TB@CIN,CIN,TB,,,,,,RB/FLEX
133646-86244,TE,Pat,Pat Freiermuth,Freiermuth,6.150000095367432,16,4800,ATL@PIT,PIT,ATL,,,,,,TE/FLEX
133646-12527,D,Chicago,Chicago Bears,Bears,6.368421052631579,19,4800,CHI@CAR,CHI,CAR,,,,,,DEF
133646-120085,RB,Seth,Seth McGowan,McGowan,,0,4800,BAL@IND,IND,BAL,,,,,,RB/FLEX
133646-114198,WR,Xavier,Xavier Legette,Legette,4.568749904632568,16,4800,CHI@CAR,CAR,CHI,Q,Ankle,,,,WR/FLEX
133646-152148,TE,Gunnar,Gunnar Helm,Helm,4.356249809265137,16,4800,NYJ@TEN,TEN,NYJ,,,,,,TE/FLEX
133646-158412,RB,Braelon,Braelon Allen,Allen,3.575000047683716,4,4800,NYJ@TEN,NYJ,TEN,,,,,,RB/FLEX
133646-70422,WR,Kalif,Kalif Raymond,Raymond,3.914285659790039,14,4800,CHI@CAR,CHI,CAR,,,,,,WR/FLEX
133646-119788,WR,Xavier,Xavier Hutchinson,Hutchinson,5,18,4800,BUF@HOU,HOU,BUF,,,,,,WR/FLEX
133646-64585,TE,Dawson,Dawson Knox,Knox,5.272222306993273,18,4700,BUF@HOU,BUF,HOU,,,,,,TE/FLEX
133646-129112,WR,Chimere,Chimere Dike,Dike,6.005882263183594,17,4700,NYJ@TEN,TEN,NYJ,,,,,,WR/FLEX
133646-12532,D,Detroit,Detroit Lions,Lions,5.705882352941177,17,4700,NO@DET,DET,NO,,,,,,DEF
133646-154971,RB,Devin,Devin Neal,Neal,5.722222222222222,9,4700,NO@DET,NO,DET,Q,Hamstring,,,,RB/FLEX
133646-91578,RB,Zamir,Zamir White,White,1.5199999809265137,5,4700,NO@DET,NO,DET,,,,,,RB/FLEX
133646-184873,TE,Kenyon,Kenyon Sadiq,Sadiq,,0,4700,NYJ@TEN,NYJ,TEN,Q,Abdomen,,,,TE/FLEX
133646-167636,WR,Germie,Germie Bernard,Bernard,,0,4700,ATL@PIT,PIT,ATL,,,,,,WR/FLEX
133646-138037,WR,Roman,Roman Wilson,Wilson,3.6222220526801214,9,4700,ATL@PIT,PIT,ATL,,,,,,WR/FLEX
133646-103308,RB,Jawhar,Jawhar Jordan,Jordan,7.300000190734863,4,4700,BUF@HOU,HOU,BUF,,,,,,RB/FLEX
133646-183251,WR,Zachariah,Zachariah Branch,Branch,,0,4700,ATL@PIT,ATL,PIT,,,,,,WR/FLEX
133646-103378,TE,Erick,Erick All Jr.,All Jr.,3.2249999046325684,8,4700,TB@CIN,CIN,TB,,,,,,TE/FLEX
133646-91101,TE,Tommy,Tommy Tremble,Tremble,3.3812499046325684,16,4700,CHI@CAR,CAR,CHI,,,,,,TE/FLEX
133646-71705,TE,Noah,Noah Fant,Fant,4.446153787466196,13,4600,NO@DET,NO,DET,,,,,,TE/FLEX
133646-174245,WR,Isaiah,Isaiah Bond,Bond,3.046666717529297,15,4600,CLE@JAC,CLE,JAC,,,,,,WR/FLEX
133646-158983,TE,Ja'Tavion,Ja'Tavion Sanders,Sanders,3.590909090909091,11,4600,CHI@CAR,CAR,CHI,,,,,,TE/FLEX
133646-103694,RB,Ray,Ray Davis,Davis,3.3894737645199426,19,4600,BUF@HOU,BUF,HOU,,,,,,RB/FLEX
133646-102696,WR,John,John Metchie III,Metchie III,4.261538578913762,13,4600,CHI@CAR,CAR,CHI,,,,,,WR/FLEX
133646-87418,WR,Joshua,Joshua Palmer,Palmer,3.441666603088379,12,4600,BUF@HOU,BUF,HOU,,,,,,WR/FLEX
133646-56711,TE,Drew,Drew Sample,Sample,2.218181783502752,11,4600,TB@CIN,CIN,TB,,,,,,TE/FLEX
133646-166898,RB,Nick,Nick Singleton,Singleton,,0,4600,NYJ@TEN,TEN,NYJ,,,,,,RB/FLEX
133646-112780,WR,Jamari,Jamari Thrash,Thrash,1.962499976158142,8,4500,CLE@JAC,CLE,JAC,IR,Undisclosed,,,,WR/FLEX
133646-90307,TE,Daniel,Daniel Bellinger,Bellinger,4.174999872843425,12,4500,NYJ@TEN,TEN,NYJ,,,,,,TE/FLEX
133646-129422,TE,Nate,Nate Boerkircher,Boerkircher,,0,4500,CLE@JAC,JAC,CLE,,,,,,TE/FLEX
133646-193004,WR,Jahdae,Jahdae Walker,Walker,7.900000254313151,3,4500,CHI@CAR,CHI,CAR,,,,,,WR/FLEX
133646-206341,WR,Ted,Ted Hurst III,Hurst III,,0,4500,TB@CIN,TB,CIN,,,,,,WR/FLEX
133646-184917,WR,Elijah,Elijah Sarratt,Sarratt,,0,4500,BAL@IND,BAL,IND,,,,,,WR/FLEX
133646-155293,RB,DJ,DJ Giddens,Giddens,1.9200000762939453,5,4500,BAL@IND,IND,BAL,,,,,,RB/FLEX
133646-156527,WR,Devontez,Devontez Walker,Walker,5.766666412353516,6,4500,BAL@IND,BAL,IND,,,,,,WR/FLEX
133646-128912,WR,Mitch,Mitch Tinsley,Tinsley,3.450000047683716,8,4500,BUF@HOU,HOU,BUF,,,,,,WR/FLEX
133646-91047,TE,Cole,Cole Kmet,Kmet,4.1333334181043835,18,4500,CHI@CAR,CHI,CAR,,,,,,TE/FLEX
133646-91046,TE,Brock,Brock Wright,Wright,4.257142748151507,7,4500,NO@DET,DET,NO,,,,,,TE/FLEX
133646-69558,WR,Greg,Greg Dortch,Dortch,5.049999872843425,12,4500,BUF@HOU,BUF,HOU,,,,,,WR/FLEX
133646-152607,WR,Deion,Deion Burks,Burks,,0,4400,BAL@IND,IND,BAL,,,,,,WR/FLEX
